Date,Unique Pageviews,Visits,Site Pageviews
4/17/2015,"6,836","9,635","36,538"
4/24/2015,"8,803","13,019","50,019"
5/1/2015,"9,974","15,155","58,891"
5/8/2015,"10,480","16,111","63,313"
5/15/2015,"10,927","16,869","66,279"
5/22/2015,"11,397","17,718","70,089"
 5/29/2015,"11,700","18,255","72,296"
 6/5/2015,"12,159","19,051","75,367"
 6/12/2015,"12,720","19,953","78,325"
 6/19/2015,"13,369","21,173","84,812"
 6/26/2015,"13,772","21,895","88,037"
 7/3/2015,"14,265","22,688","91,315"
7/10/2015,"15,056","23,991","96,770"
7/17/2015,"15,752","25,210","102,186"
7/24/2015,"16,370","26,230","107,012"
7/31/2015,"17,009","27,335","112,375"
08/07/2015,"17,692","28,485","116,848"
08/14/2015,"18,274"," 29,625 ","121,006"
8/21/2015,"19,218","31,345","127,124"
8/28/2015,"19,840","32,489","131,816"
9/4/2015," 20,764 "," 34,093 "," 137,947 "
9/11/2015," 21,324 "," 34,988 "," 141,535 "
9/15/2015," 21,559 "," 35,414 "," 144,050 "
9/25/2015," 21,958 "," 36,105 "," 147,480 "
10/2/2015," 22,417 "," 36,926 "," 151,203 "
10/9/2015," 22,962 "," 37,857 "," 155,295 "
10/16/2015," 23,422 "," 38,592 "," 158,201 "
10/23/2015," 23,913 "," 39,412 "," 161,694 "
10/30/2015," 24,368 "," 40,176 "," 164,774 "
11/6/2015," 24,804 "," 40,926 "," 167,659 "
11/13/2015," 25,234 "," 41,574 "," 170,287 "
11/20/2015," 25,765 "," 42,369 "," 173,297 "
11/27/2015," 26,112 "," 42,885 "," 175,571 "
12/4/2015," 26,576 "," 43,636 "," 178,710 "
12/11/2015," 27,154 "," 44,500 "," 182,284 "
12/18/2015," 27,586 "," 45,189 "," 185,478 "
12/25/2015," 27,832 "," 45,581 "," 187,069 "
